NOC,Description,NOC_Description,Industry,Variable,Geographic Area,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
#4166,"Education policy researchers, consultants and program officers					","#4166Education policy researchers, consultants and program officers					",All Industries,Labour Force Supply,Mainland South West,1783,1826,1858,1893,1908,1915,1918,1922,1932,1946,1965
#4166,"Education policy researchers, consultants and program officers					","#4166Education policy researchers, consultants and program officers					",All Industries,Labour Force Supply,Vancouver Island Coast,468,475,477,484,485,485,489,495,501,508,517
#4166,"Education policy researchers, consultants and program officers					","#4166Education policy researchers, consultants and program officers					",All Industries,Labour Force Supply,North,88,90,91,91,91,90,90,89,89,89,89
#4166,"Education policy researchers, consultants and program officers					","#4166Education policy researchers, consultants and program officers					",All Industries,Labour Force Supply,South East,348,353,357,362,365,366,369,373,379,385,391
#4166,"Education policy researchers, consultants and program officers					","#4166Education policy researchers, consultants and program officers					",All Industries,Supply less Demand,British Columbia,29,16,23,27,40,42,38,33,26,18,10
#4166,"Education policy researchers, consultants and program officers					","#4166Education policy researchers, consultants and program officers					",All Industries,Supply less Demand,Mainland South West,19,14,25,33,47,50,46,39,31,23,16
#4166,"Education policy researchers, consultants and program officers					","#4166Education policy researchers, consultants and program officers					",All Industries,Supply less Demand,Vancouver Island Coast,5,0,-1,-2,-2,-4,-4,-3,-3,-4,-4
#4166,"Education policy researchers, consultants and program officers					","#4166Education policy researchers, consultants and program officers					",All Industries,Supply less Demand,North,1,1,1,0,0,0,0,0,0,0,0
#4166,"Education policy researchers, consultants and program officers					","#4166Education policy researchers, consultants and program officers					",All Industries,Supply less Demand,South East,4,0,-2,-4,-4,-4,-4,-3,-2,-2,-2
#4167,"Recreation, sports and fitness policy researchers, consultants and program officers		","#4167Recreation, sports and fitness policy researchers, consultants and program officers		",All Industries,Labour Force Demand,British Columbia,1249,1301,1316,1334,1353,1373,1394,1415,1438,1463,1487
#4167,"Recreation, sports and fitness policy researchers, consultants and program officers		","#4167Recreation, sports and fitness policy researchers, consultants and program officers		",All Industries,Labour Force Demand,Mainland South West,881,919,927,940,953,967,981,995,1009,1024,1040
#4167,"Recreation, sports and fitness policy researchers, consultants and program officers		","#4167Recreation, sports and fitness policy researchers, consultants and program officers		",All Industries,Labour Force Demand,Vancouver Island Coast,294,300,303,307,310,314,319,325,331,338,345
#4167,"Recreation, sports and fitness policy researchers, consultants and program officers		","#4167Recreation, sports and fitness policy researchers, consultants and program officers		",All Industries,Labour Force Demand,North,5,5,6,6,6,6,6,6,6,6,6
#4167,"Recreation, sports and fitness policy researchers, consultants and program officers		","#4167Recreation, sports and fitness policy researchers, consultants and program officers		",All Industries,Labour Force Demand,South East,70,76,79,82,84,86,87,89,92,94,97
#4167,"Recreation, sports and fitness policy researchers, consultants and program officers		","#4167Recreation, sports and fitness policy researchers, consultants and program officers		",All Industries,Labour Force Supply,British Columbia,1266,1306,1327,1349,1372,1393,1412,1431,1451,1471,1492
#4167,"Recreation, sports and fitness policy researchers, consultants and program officers		","#4167Recreation, sports and fitness policy researchers, consultants and program officers		",All Industries,Labour Force Supply,Mainland South West,895,925,940,957,975,991,1003,1014,1025,1036,1048
#4167,"Recreation, sports and fitness policy researchers, consultants and program officers		","#4167Recreation, sports and fitness policy researchers, consultants and program officers		",All Industries,Labour Force Supply,Vancouver Island Coast,296,301,303,306,308,311,316,322,329,335,342
#4167,"Recreation, sports and fitness policy researchers, consultants and program officers		","#4167Recreation, sports and fitness policy researchers, consultants and program officers		",All Industries,Labour Force Supply,North,5,5,6,6,6,6,6,6,6,6,6
#4167,"Recreation, sports and fitness policy researchers, consultants and program officers		","#4167Recreation, sports and fitness policy researchers, consultants and program officers		",All Industries,Labour Force Supply,South East,70,76,79,81,83,84,86,89,91,94,96
#4167,"Recreation, sports and fitness policy researchers, consultants and program officers		","#4167Recreation, sports and fitness policy researchers, consultants and program officers		",All Industries,Supply less Demand,British Columbia,16,5,11,15,19,20,18,16,12,9,5
#4167,"Recreation, sports and fitness policy researchers, consultants and program officers		","#4167Recreation, sports and fitness policy researchers, consultants and program officers		",All Industries,Supply less Demand,Mainland South West,14,6,13,17,22,24,22,19,16,12,8
#4167,"Recreation, sports and fitness policy researchers, consultants and program officers		","#4167Recreation, sports and fitness policy researchers, consultants and program officers		",All Industries,Supply less Demand,Vancouver Island Coast,3,0,-1,-1,-2,-3,-3,-3,-3,-3,-3
#4167,"Recreation, sports and fitness policy researchers, consultants and program officers		","#4167Recreation, sports and fitness policy researchers, consultants and program officers		",All Industries,Supply less Demand,North,0,0,0,0,0,0,0,0,0,0,0
#4167,"Recreation, sports and fitness policy researchers, consultants and program officers		","#4167Recreation, sports and fitness policy researchers, consultants and program officers		",All Industries,Supply less Demand,South East,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#4168,"Program officers unique to government								","#4168Program officers unique to government								",All Industries,Labour Force Demand,British Columbia,1852,1828,1822,1831,1845,1863,1880,1898,1919,1942,1966
#4168,"Program officers unique to government								","#4168Program officers unique to government								",All Industries,Labour Force Demand,Mainland South West,1036,1055,1066,1078,1091,1105,1116,1126,1138,1151,1164
#4168,"Program officers unique to government								","#4168Program officers unique to government								",All Industries,Labour Force Demand,Vancouver Island Coast,364,367,367,368,368,369,372,376,381,386,391
#4168,"Program officers unique to government								","#4168Program officers unique to government								",All Industries,Labour Force Demand,North,88,88,89,90,91,92,92,93,94,94,95
#4168,"Program officers unique to government								","#4168Program officers unique to government								",All Industries,Labour Force Demand,South East,364,318,300,295,294,297,299,303,307,311,316
#4168,"Program officers unique to government								","#4168Program officers unique to government								",All Industries,Labour Force Supply,British Columbia,1854,1843,1838,1848,1866,1884,1900,1915,1933,1952,1971
#4168,"Program officers unique to government								","#4168Program officers unique to government								",All Industries,Labour Force Supply,Mainland South West,1045,1064,1081,1098,1117,1133,1142,1149,1157,1165,1174
#4168,"Program officers unique to government								","#4168Program officers unique to government								",All Industries,Labour Force Supply,Vancouver Island Coast,363,368,367,367,367,367,370,374,378,383,388
#4168,"Program officers unique to government								","#4168Program officers unique to government								",All Industries,Labour Force Supply,North,89,89,90,90,91,91,92,93,93,94,95
#4168,"Program officers unique to government								","#4168Program officers unique to government								",All Industries,Labour Force Supply,South East,357,322,301,293,292,293,296,300,305,310,314
#4168,"Program officers unique to government								","#4168Program officers unique to government								",All Industries,Supply less Demand,British Columbia,2,15,16,17,21,21,20,17,14,10,6
#4168,"Program officers unique to government								","#4168Program officers unique to government								",All Industries,Supply less Demand,Mainland South West,9,9,15,20,26,28,26,23,18,14,10
#4168,"Program officers unique to government								","#4168Program officers unique to government								",All Industries,Supply less Demand,Vancouver Island Coast,-1,1,0,-1,-1,-3,-3,-2,-3,-3,-3
#4168,"Program officers unique to government								","#4168Program officers unique to government								",All Industries,Supply less Demand,North,1,1,1,0,0,-1,0,0,0,0,0
#4168,"Program officers unique to government								","#4168Program officers unique to government								",All Industries,Supply less Demand,South East,-7,4,1,-2,-3,-3,-3,-3,-2,-2,-2
#4169,"Other professional occupations in social science, n.e.c.						","#4169Other professional occupations in social science, n.e.c.						",All Industries,Labour Force Demand,British Columbia,967,984,1002,1017,1030,1039,1052,1064,1076,1088,1099
#4169,"Other professional occupations in social science, n.e.c.						","#4169Other professional occupations in social science, n.e.c.						",All Industries,Labour Force Demand,Mainland South West,567,574,581,590,599,607,616,625,633,641,648
#4169,"Other professional occupations in social science, n.e.c.						","#4169Other professional occupations in social science, n.e.c.						",All Industries,Labour Force Demand,Vancouver Island Coast,219,220,222,224,226,227,228,229,231,233,235
#4169,"Other professional occupations in social science, n.e.c.						","#4169Other professional occupations in social science, n.e.c.						",All Industries,Labour Force Demand,North,120,123,127,130,131,131,132,133,135,136,136
#4169,"Other professional occupations in social science, n.e.c.						","#4169Other professional occupations in social science, n.e.c.						",All Industries,Labour Force Demand,South East,62,67,71,73,75,75,76,77,78,79,80
#4169,"Other professional occupations in social science, n.e.c.						","#4169Other professional occupations in social science, n.e.c.						",All Industries,Labour Force Supply,British Columbia,981,992,1009,1026,1041,1051,1062,1073,1084,1094,1103
#4169,"Other professional occupations in social science, n.e.c.						","#4169Other professional occupations in social science, n.e.c.						",All Industries,Labour Force Supply,Mainland South West,573,579,589,601,612,622,630,637,643,648,654
#4169,"Other professional occupations in social science, n.e.c.						","#4169Other professional occupations in social science, n.e.c.						",All Industries,Labour Force Supply,Vancouver Island Coast,223,221,222,223,225,225,226,228,230,232,233
#4169,"Other professional occupations in social science, n.e.c.						","#4169Other professional occupations in social science, n.e.c.						",All Industries,Labour Force Supply,North,122,125,128,130,131,130,131,133,134,136,136
#4169,"Other professional occupations in social science, n.e.c.						","#4169Other professional occupations in social science, n.e.c.						",All Industries,Labour Force Supply,South East,63,67,70,72,74,74,75,76,77,79,80
#4169,"Other professional occupations in social science, n.e.c.						","#4169Other professional occupations in social science, n.e.c.						",All Industries,Supply less Demand,British Columbia,14,8,8,9,11,12,11,10,8,6,4
#4169,"Other professional occupations in social science, n.e.c.						","#4169Other professional occupations in social science, n.e.c.						",All Industries,Supply less Demand,Mainland South West,6,6,8,11,14,15,14,12,10,8,5
#4169,"Other professional occupations in social science, n.e.c.						","#4169Other professional occupations in social science, n.e.c.						",All Industries,Supply less Demand,Vancouver Island Coast,4,1,0,-1,-1,-2,-2,-1,-1,-1,-1
#4169,"Other professional occupations in social science, n.e.c.						","#4169Other professional occupations in social science, n.e.c.						",All Industries,Supply less Demand,North,2,2,1,0,0,-1,-1,0,0,0,0
#4169,"Other professional occupations in social science, n.e.c.						","#4169Other professional occupations in social science, n.e.c.						",All Industries,Supply less Demand,South East,1,0,-1,-1,-1,-1,-1,-1,0,0,0
#4211,"Paralegal and related occupations								","#4211Paralegal and related occupations								",All Industries,Labour Force Demand,British Columbia,2900,2900,2944,2987,3032,3065,3109,3148,3180,3212,3241
#4211,"Paralegal and related occupations								","#4211Paralegal and related occupations								",All Industries,Labour Force Demand,Mainland South West,2231,2232,2267,2305,2344,2375,2415,2450,2478,2505,2529
#4211,"Paralegal and related occupations								","#4211Paralegal and related occupations								",All Industries,Labour Force Demand,Vancouver Island Coast,382,383,388,388,391,391,392,392,393,394,395
#4211,"Paralegal and related occupations								","#4211Paralegal and related occupations								",All Industries,Labour Force Demand,North,28,30,31,32,32,32,32,33,33,33,33
#4211,"Paralegal and related occupations								","#4211Paralegal and related occupations								",All Industries,Labour Force Demand,South East,260,255,258,261,265,267,270,273,276,280,284
#4211,"Paralegal and related occupations								","#4211Paralegal and related occupations								",All Industries,Labour Force Supply,British Columbia,2935,2930,2973,3024,3080,3118,3157,3190,3216,3239,3259
#4211,"Paralegal and related occupations								","#4211Paralegal and related occupations								",All Industries,Labour Force Supply,Mainland South West,2262,2259,2298,2346,2397,2434,2469,2497,2518,2536,2551
#4211,"Paralegal and related occupations								","#4211Paralegal and related occupations								",All Industries,Labour Force Supply,Vancouver Island Coast,388,385,387,388,389,389,390,390,391,392,393
#4211,"Paralegal and related occupations								","#4211Paralegal and related occupations								",All Industries,Labour Force Supply,North,28,30,31,32,32,32,32,33,33,33,33
#4211,"Paralegal and related occupations								","#4211Paralegal and related occupations								",All Industries,Labour Force Supply,South East,257,255,257,259,262,264,267,270,274,278,283
#4211,"Paralegal and related occupations								","#4211Paralegal and related occupations								",All Industries,Supply less Demand,British Columbia,35,30,29,37,48,53,48,43,36,27,19
#4211,"Paralegal and related occupations								","#4211Paralegal and related occupations								",All Industries,Supply less Demand,Mainland South West,31,27,31,41,53,59,54,47,40,31,22
#4211,"Paralegal and related occupations								","#4211Paralegal and related occupations								",All Industries,Supply less Demand,Vancouver Island Coast,6,2,-1,-1,-2,-3,-2,-2,-2,-2,-2
#4211,"Paralegal and related occupations								","#4211Paralegal and related occupations								",All Industries,Supply less Demand,North,1,0,0,0,0,0,0,0,0,0,0
#4211,"Paralegal and related occupations								","#4211Paralegal and related occupations								",All Industries,Supply less Demand,South East,-3,1,-1,-3,-3,-3,-3,-2,-2,-2,-2
#4212,"Social and community service workers								","#4212Social and community service workers								",All Industries,Labour Force Demand,British Columbia,24580,24972,25275,25670,26086,26515,26992,27483,28024,28575,29137
#4212,"Social and community service workers								","#4212Social and community service workers								",All Industries,Labour Force Demand,Mainland South West,13466,13643,13826,14055,14305,14558,14825,15090,15382,15679,15986
#4212,"Social and community service workers								","#4212Social and community service workers								",All Industries,Labour Force Demand,Vancouver Island Coast,4813,4910,4958,5033,5098,5167,5263,5370,5485,5604,5725
#4212,"Social and community service workers								","#4212Social and community service workers								",All Industries,Labour Force Demand,North,2902,2928,2949,2982,3023,3063,3104,3146,3193,3238,3281
#4212,"Social and community service workers								","#4212Social and community service workers								",All Industries,Labour Force Demand,South East,3400,3491,3542,3600,3660,3726,3799,3876,3964,4053,4145
#4212,"Social and community service workers								","#4212Social and community service workers								",All Industries,Labour Force Supply,British Columbia,24676,25134,25454,25859,26323,26753,27207,27669,28170,28669,29181
#4212,"Social and community service workers								","#4212Social and community service workers								",All Industries,Labour Force Supply,Mainland South West,13473,13755,14011,14303,14626,14908,15152,15372,15609,15848,16098
#4212,"Social and community service workers								","#4212Social and community service workers								",All Industries,Labour Force Supply,Vancouver Island Coast,4845,4917,4948,5014,5066,5121,5215,5326,5440,5558,5678
#4212,"Social and community service workers								","#4212Social and community service workers								",All Industries,Labour Force Supply,North,2925,2970,2973,2981,3013,3045,3087,3134,3186,3237,3287
#4212,"Social and community service workers								","#4212Social and community service workers								",All Industries,Labour Force Supply,South East,3432,3492,3521,3561,3619,3678,3752,3837,3934,4026,4117
#4212,"Social and community service workers								","#4212Social and community service workers								",All Industries,Supply less Demand,British Columbia,96,161,178,190,237,238,215,186,146,94,44
#4212,"Social and community service workers								","#4212Social and community service workers								",All Industries,Supply less Demand,Mainland South West,7,112,185,248,321,350,327,282,227,169,112
#4212,"Social and community service workers								","#4212Social and community service workers								",All Industries,Supply less Demand,Vancouver Island Coast,32,6,-10,-19,-32,-46,-48,-44,-45,-46,-46
#4212,"Social and community service workers								","#4212Social and community service workers								",All Industries,Supply less Demand,North,24,43,25,-1,-11,-18,-17,-13,-7,-1,6
#4212,"Social and community service workers								","#4212Social and community service workers								",All Industries,Supply less Demand,South East,33,0,-21,-38,-42,-48,-47,-39,-29,-28,-28
#4214,"Early childhood educators and assistants								","#4214Early childhood educators and assistants								",All Industries,Labour Force Demand,British Columbia,25416,25721,26010,26318,26611,26907,27204,27509,27818,28125,28428
#4214,"Early childhood educators and assistants								","#4214Early childhood educators and assistants								",All Industries,Labour Force Demand,Mainland South West,15473,15687,15906,16134,16348,16562,16760,16955,17148,17337,17526
#4214,"Early childhood educators and assistants								","#4214Early childhood educators and assistants								",All Industries,Labour Force Demand,Vancouver Island Coast,4858,4912,4954,4998,5038,5080,5130,5187,5249,5313,5377
#4214,"Early childhood educators and assistants								","#4214Early childhood educators and assistants								",All Industries,Labour Force Demand,North,1775,1784,1786,1792,1802,1811,1821,1832,1842,1851,1857
#4214,"Early childhood educators and assistants								","#4214Early childhood educators and assistants								",All Industries,Labour Force Demand,South East,3310,3340,3364,3394,3424,3455,3493,3534,3579,3623,3668
#4214,"Early childhood educators and assistants								","#4214Early childhood educators and assistants								",All Industries,Labour Force Supply,British Columbia,25425,25881,26210,26561,26922,27227,27504,27771,28035,28282,28527
#4214,"Early childhood educators and assistants								","#4214Early childhood educators and assistants								",All Industries,Labour Force Supply,Mainland South West,15349,15794,16114,16423,16727,16973,17148,17291,17423,17549,17675
#4214,"Early childhood educators and assistants								","#4214Early childhood educators and assistants								",All Industries,Labour Force Supply,Vancouver Island Coast,4920,4929,4947,4984,5011,5039,5090,5152,5215,5278,5342
#4214,"Early childhood educators and assistants								","#4214Early childhood educators and assistants								",All Industries,Labour Force Supply,North,1772,1808,1802,1794,1797,1802,1813,1826,1841,1852,1862
#4214,"Early childhood educators and assistants								","#4214Early childhood educators and assistants								",All Industries,Labour Force Supply,South East,3384,3350,3348,3361,3388,3413,3453,3502,3556,3602,3648
#4214,"Early childhood educators and assistants								","#4214Early childhood educators and assistants								",All Industries,Supply less Demand,British Columbia,9,160,200,243,311,320,300,262,217,157,100
#4214,"Early childhood educators and assistants								","#4214Early childhood educators and assistants								",All Industries,Supply less Demand,Mainland South West,-124,107,208,289,379,411,387,336,276,212,150
#4214,"Early childhood educators and assistants								","#4214Early childhood educators and assistants								",All Industries,Supply less Demand,Vancouver Island Coast,62,18,-7,-14,-27,-41,-39,-35,-34,-34,-35
#4214,"Early childhood educators and assistants								","#4214Early childhood educators and assistants								",All Industries,Supply less Demand,North,-3,25,16,1,-5,-9,-8,-6,-2,1,5
#4214,"Early childhood educators and assistants								","#4214Early childhood educators and assistants								",All Industries,Supply less Demand,South East,74,10,-16,-33,-36,-41,-40,-33,-23,-21,-20
#4215,"Instructors of persons with disabilities								","#4215Instructors of persons with disabilities								",All Industries,Labour Force Demand,British Columbia,980,996,1007,1022,1036,1051,1068,1086,1106,1127,1148
#4215,"Instructors of persons with disabilities								","#4215Instructors of persons with disabilities								",All Industries,Labour Force Demand,Mainland South West,795,807,817,830,842,855,869,884,901,918,935
#4215,"Instructors of persons with disabilities								","#4215Instructors of persons with disabilities								",All Industries,Labour Force Demand,Vancouver Island Coast,113,115,116,118,119,121,123,125,127,129,132
#4215,"Instructors of persons with disabilities								","#4215Instructors of persons with disabilities								",All Industries,Labour Force Demand,North,0,0,0,0,0,0,0,0,0,0,0
#4215,"Instructors of persons with disabilities								","#4215Instructors of persons with disabilities								",All Industries,Labour Force Demand,South East,72,73,74,75,75,76,77,78,79,80,81
#4215,"Instructors of persons with disabilities								","#4215Instructors of persons with disabilities								",All Industries,Labour Force Supply,British Columbia,982,1002,1017,1036,1054,1070,1085,1101,1118,1135,1153
#4215,"Instructors of persons with disabilities								","#4215Instructors of persons with disabilities								",All Industries,Labour Force Supply,Mainland South West,797,814,828,845,861,876,888,900,914,928,942
#4215,"Instructors of persons with disabilities								","#4215Instructors of persons with disabilities								",All Industries,Labour Force Supply,Vancouver Island Coast,113,115,116,117,118,119,121,124,126,128,131
#4215,"Instructors of persons with disabilities								","#4215Instructors of persons with disabilities								",All Industries,Labour Force Supply,North,0,0,0,0,0,0,0,0,0,0,0
#4215,"Instructors of persons with disabilities								","#4215Instructors of persons with disabilities								",All Industries,Labour Force Supply,South East,73,73,73,74,74,75,76,77,78,80,81
#4215,"Instructors of persons with disabilities								","#4215Instructors of persons with disabilities								",All Industries,Supply less Demand,British Columbia,2,7,10,14,18,19,17,15,12,8,5
#4215,"Instructors of persons with disabilities								","#4215Instructors of persons with disabilities								",All Industries,Supply less Demand,Mainland South West,2,7,11,15,19,21,19,17,13,10,7
#4215,"Instructors of persons with disabilities								","#4215Instructors of persons with disabilities								",All Industries,Supply less Demand,Vancouver Island Coast,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
#4215,"Instructors of persons with disabilities								","#4215Instructors of persons with disabilities								",All Industries,Supply less Demand,North,0,0,0,0,0,0,0,0,0,0,0
#4215,"Instructors of persons with disabilities								","#4215Instructors of persons with disabilities								",All Industries,Supply less Demand,South East,1,0,0,-1,-1,-1,-1,-1,-1,0,0
#4216,"Other instructors										","#4216Other instructors										",All Industries,Labour Force Demand,British Columbia,5778,6003,6020,6090,6044,6055,6082,6115,6169,6227,6302
#4216,"Other instructors										","#4216Other instructors										",All Industries,Labour Force Demand,Mainland South West,4654,4840,4862,4917,4880,4888,4908,4933,4976,5021,5083
#4216,"Other instructors										","#4216Other instructors										",All Industries,Labour Force Demand,Vancouver Island Coast,747,772,770,785,782,786,793,801,811,822,835
#4216,"Other instructors										","#4216Other instructors										",All Industries,Labour Force Demand,North,127,131,129,128,125,124,124,123,123,123,122
#4216,"Other instructors										","#4216Other instructors										",All Industries,Labour Force Demand,South East,250,259,259,261,257,257,257,257,259,260,262
#4216,"Other instructors										","#4216Other instructors										",All Industries,Labour Force Supply,British Columbia,5831,6031,6090,6176,6168,6178,6194,6211,6245,6283,6338
#4216,"Other instructors										","#4216Other instructors										",All Industries,Labour Force Supply,Mainland South West,4731,4872,4933,5009,5009,5020,5029,5037,5059,5084,5125
#4216,"Other instructors										","#4216Other instructors										",All Industries,Labour Force Supply,Vancouver Island Coast,720,766,769,781,779,780,787,796,806,817,829
#4216,"Other instructors										","#4216Other instructors										",All Industries,Labour Force Supply,North,127,133,130,128,125,124,123,123,123,123,123
#4216,"Other instructors										","#4216Other instructors										",All Industries,Labour Force Supply,South East,253,259,258,258,255,254,254,255,257,259,261
#4216,"Other instructors										","#4216Other instructors										",All Industries,Supply less Demand,British Columbia,53,28,69,86,124,123,112,96,76,57,36
#4216,"Other instructors										","#4216Other instructors										",All Industries,Supply less Demand,Mainland South West,77,32,70,91,129,132,121,104,83,63,43
#4216,"Other instructors										","#4216Other instructors										",All Industries,Supply less Demand,Vancouver Island Coast,-27,-5,-1,-3,-3,-6,-6,-5,-5,-6,-6
#4216,"Other instructors										","#4216Other instructors										",All Industries,Supply less Demand,North,-1,1,1,0,0,0,0,0,0,0,0
#4216,"Other instructors										","#4216Other instructors										",All Industries,Supply less Demand,South East,4,0,-1,-2,-2,-3,-3,-2,-1,-1,-1
#4217,"Other religious occupations									","#4217Other religious occupations									",All Industries,Labour Force Demand,British Columbia,823,818,814,817,822,826,831,836,840,844,847
#4217,"Other religious occupations									","#4217Other religious occupations									",All Industries,Labour Force Demand,Mainland South West,595,585,580,582,584,588,592,596,598,600,602
#4217,"Other religious occupations									","#4217Other religious occupations									",All Industries,Labour Force Demand,Vancouver Island Coast,78,79,79,79,80,81,81,82,83,84,85
#4217,"Other religious occupations									","#4217Other religious occupations									",All Industries,Labour Force Demand,North,103,106,108,108,109,109,109,109,109,109,109
#4217,"Other religious occupations									","#4217Other religious occupations									",All Industries,Labour Force Demand,South East,48,47,48,48,48,49,49,50,50,51,52
#4217,"Other religious occupations									","#4217Other religious occupations									",All Industries,Labour Force Supply,British Columbia,829,828,825,828,835,840,844,847,849,851,853
#4217,"Other religious occupations									","#4217Other religious occupations									",All Industries,Labour Force Supply,Mainland South West,601,594,590,594,599,603,606,608,608,608,608
#4217,"Other religious occupations									","#4217Other religious occupations									",All Industries,Labour Force Supply,Vancouver Island Coast,79,79,79,79,80,80,81,81,82,83,84
#4217,"Other religious occupations									","#4217Other religious occupations									",All Industries,Labour Force Supply,North,103,107,108,108,109,109,109,109,109,109,109
#4217,"Other religious occupations									","#4217Other religious occupations									",All Industries,Labour Force Supply,South East,47,47,47,47,48,48,49,49,50,51,52
#4217,"Other religious occupations									","#4217Other religious occupations									",All Industries,Supply less Demand,British Columbia,6,10,11,11,13,14,13,11,9,7,5
#4217,"Other religious occupations									","#4217Other religious occupations									",All Industries,Supply less Demand,Mainland South West,6,8,10,12,15,15,14,12,10,8,6
#4217,"Other religious occupations									","#4217Other religious occupations									",All Industries,Supply less Demand,Vancouver Island Coast,1,0,0,0,0,-1,-1,-1,-1,-1,-1
#4217,"Other religious occupations									","#4217Other religious occupations									",All Industries,Supply less Demand,North,0,1,1,0,0,0,0,0,0,0,0
#4217,"Other religious occupations									","#4217Other religious occupations									",All Industries,Supply less Demand,South East,-1,0,0,0,0,-1,-1,0,0,0,0
#4311,"Police officers (except commissioned)								","#4311Police officers (except commissioned)								",All Industries,Labour Force Demand,British Columbia,8665,8711,8703,8753,8830,8922,9001,9083,9181,9284,9391
#4311,"Police officers (except commissioned)								","#4311Police officers (except commissioned)								",All Industries,Labour Force Demand,Mainland South West,5697,5946,6006,6072,6145,6221,6279,6337,6404,6475,6550
#4311,"Police officers (except commissioned)								","#4311Police officers (except commissioned)								",All Industries,Labour Force Demand,Vancouver Island Coast,821,832,835,838,839,841,848,856,867,878,889
#4311,"Police officers (except commissioned)								","#4311Police officers (except commissioned)								",All Industries,Labour Force Demand,North,668,644,646,649,653,658,662,665,669,672,675
#4311,"Police officers (except commissioned)								","#4311Police officers (except commissioned)								",All Industries,Labour Force Demand,South East,1479,1290,1216,1194,1193,1202,1212,1225,1241,1259,1277
#4311,"Police officers (except commissioned)								","#4311Police officers (except commissioned)								",All Industries,Labour Force Supply,British Columbia,8684,8774,8792,8856,8957,9054,9126,9192,9271,9350,9435
#4311,"Police officers (except commissioned)								","#4311Police officers (except commissioned)								",All Industries,Labour Force Supply,Mainland South West,5785,5981,6087,6184,6289,6376,6427,6465,6508,6554,6605
#4311,"Police officers (except commissioned)								","#4311Police officers (except commissioned)								",All Industries,Labour Force Supply,Vancouver Island Coast,819,833,834,836,836,836,842,851,861,872,884
#4311,"Police officers (except commissioned)								","#4311Police officers (except commissioned)								",All Industries,Labour Force Supply,North,672,656,652,649,651,654,659,663,668,672,677
#4311,"Police officers (except commissioned)								","#4311Police officers (except commissioned)								",All Industries,Labour Force Supply,South East,1408,1304,1219,1187,1182,1188,1199,1214,1233,1252,1270
#4311,"Police officers (except commissioned)								","#4311Police officers (except commissioned)								",All Industries,Supply less Demand,British Columbia,19,62,89,103,128,132,125,110,90,66,44
#4311,"Police officers (except commissioned)								","#4311Police officers (except commissioned)								",All Industries,Supply less Demand,Mainland South West,88,36,81,112,144,156,148,128,104,79,55
#4311,"Police officers (except commissioned)								","#4311Police officers (except commissioned)								",All Industries,Supply less Demand,Vancouver Island Coast,-2,1,-1,-2,-4,-6,-6,-6,-6,-6,-6
#4311,"Police officers (except commissioned)								","#4311Police officers (except commissioned)								",All Industries,Supply less Demand,North,4,12,6,0,-2,-3,-3,-2,-1,0,2
#4311,"Police officers (except commissioned)								","#4311Police officers (except commissioned)								",All Industries,Supply less Demand,South East,-71,14,3,-8,-11,-14,-14,-11,-8,-7,-7
#4312,"Firefighters											","#4312Firefighters											",All Industries,Labour Force Demand,British Columbia,3620,3877,3924,3970,4015,4060,4096,4135,4179,4226,4274
#4312,"Firefighters											","#4312Firefighters											",All Industries,Labour Force Demand,Mainland South West,2640,2863,2890,2922,2957,2993,3021,3050,3082,3116,3152
#4312,"Firefighters											","#4312Firefighters											",All Industries,Labour Force Demand,Vancouver Island Coast,397,407,410,414,415,417,419,424,429,435,440
#4312,"Firefighters											","#4312Firefighters											",All Industries,Labour Force Demand,North,261,243,241,241,242,244,244,246,247,248,249
#4312,"Firefighters											","#4312Firefighters											",All Industries,Labour Force Demand,South East,322,364,383,394,401,407,411,416,421,427,433
#4312,"Firefighters											","#4312Firefighters											",All Industries,Labour Force Supply,British Columbia,3701,3885,3960,4018,4077,4125,4159,4189,4224,4259,4296
#4312,"Firefighters											","#4312Firefighters											",All Industries,Labour Force Supply,Mainland South West,2712,2869,2928,2976,3026,3068,3092,3111,3132,3154,3178
#4312,"Firefighters											","#4312Firefighters											",All Industries,Labour Force Supply,Vancouver Island Coast,399,407,409,413,413,414,416,421,426,432,437
#4312,"Firefighters											","#4312Firefighters											",All Industries,Labour Force Supply,North,261,249,243,241,241,242,243,245,247,249,250
#4312,"Firefighters											","#4312Firefighters											",All Industries,Labour Force Supply,South East,328,361,379,389,396,402,406,412,418,424,430
#4312,"Firefighters											","#4312Firefighters											",All Industries,Supply less Demand,British Columbia,80,8,35,48,62,66,62,54,44,33,22
#4312,"Firefighters											","#4312Firefighters											",All Industries,Supply less Demand,Mainland South West,72,6,38,54,69,75,71,62,50,38,27
#4312,"Firefighters											","#4312Firefighters											",All Industries,Supply less Demand,Vancouver Island Coast,1,0,-1,-1,-2,-3,-3,-3,-3,-3,-3
#4312,"Firefighters											","#4312Firefighters											",All Industries,Supply less Demand,North,1,5,3,0,-1,-1,-1,-1,0,0,1
#4312,"Firefighters											","#4312Firefighters											",All Industries,Supply less Demand,South East,6,-3,-4,-5,-5,-5,-5,-4,-3,-3,-2
